card_id,arcana,suit,rank,card_title,number_top,title_bottom,image_prompt
MI_WANDS_ACE,Minor,Wands,Ace,Ace of Wands,,Ace of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ace of Wands. One lively wand sprouting leaves, held by a cloud-hand; tiny sparks and dotted path."
MI_WANDS_TWO,Minor,Wands,Two,Two of Wands,,Two of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Two of Wands. Figure holds one wand; another wand stands like a signpost; tiny globe doodle; looking outward."
MI_WANDS_THREE,Minor,Wands,Three,Three of Wands,,Three of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Three of Wands. Figure watches three wand signposts; distant tiny boats on a simple horizon."
MI_WANDS_FOUR,Minor,Wands,Four,Four of Wands,,Four of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Four of Wands. Four wands form a wonky arch with garlands; confetti dots; celebration vibe."
MI_WANDS_FIVE,Minor,Wands,Five,Five of Wands,,Five of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Five of Wands. Five figures in a harmless noodle-fight with wands; playful chaos, no aggression."
MI_WANDS_SIX,Minor,Wands,Six,Six of Wands,,Six of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Six of Wands. Figure on a small horse holds one wand with a laurel doodle; simple cheering marks."
MI_WANDS_SEVEN,Minor,Wands,Seven,Seven of Wands,,Seven of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Seven of Wands. Figure on a mound defends with one wand; six wands bounce below; brave stance."
MI_WANDS_EIGHT,Minor,Wands,Eight,Eight of Wands,,Eight of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Eight of Wands. Eight wands streak diagonally like flying crayons; strong motion lines; minimal scene."
MI_WANDS_NINE,Minor,Wands,Nine,Nine of Wands,,Nine of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Nine of Wands. Wary figure with a bandage doodle; nine wands as a fence; resilience."
MI_WANDS_TEN,Minor,Wands,Ten,Ten of Wands,,Ten of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ten of Wands. Figure carries a bundle of ten wands; bundle droops slightly; burden and effort."
MI_WANDS_PAGE,Minor,Wands,Page,Page of Wands,,Page of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Page of Wands. Curious youth holds a wand like a microphone; tiny salamander doodle; eager spark."
MI_WANDS_KNIGHT,Minor,Wands,Knight,Knight of Wands,,Knight of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Knight of Wands. Rider charges on a patchwork horse with flame-like mane; wand raised; fast scribbles."
MI_WANDS_QUEEN,Minor,Wands,Queen,Queen of Wands,,Queen of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Queen of Wands. Queen on simple throne; wand upright; friendly cat; sunflower motif."
MI_WANDS_KING,Minor,Wands,King,King of Wands,,King of Wands,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict King of Wands. King with wand scepter; tiny castle doodle; steady confident glow."
MI_CUPS_ACE,Minor,Cups,Ace,Ace of Cups,,Ace of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ace of Cups. One cup overflowing bubbly heart-water; tiny dove doodle; calm."
MI_CUPS_TWO,Minor,Cups,Two,Two of Cups,,Two of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Two of Cups. Two figures exchange two cups; simple heart symbol floats above."
MI_CUPS_THREE,Minor,Cups,Three,Three of Cups,,Three of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Three of Cups. Three friends clink cups; confetti dots; joy."
MI_CUPS_FOUR,Minor,Cups,Four,Four of Cups,,Four of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Four of Cups. Bored figure sits; three cups on ground; cloud-hand offers a fourth cup."
MI_CUPS_FIVE,Minor,Cups,Five,Five of Cups,,Five of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Five of Cups. Figure faces three spilled cups; two cups still standing behind; gentle rain lines."
